## compare · e173 (b-muhy7ny0) against e173-base (b-muhyz9be)

Band = max(rel, noise × baseline run-to-run spread) × baseline + abs (scorecard.budget.json `kinds`). REGRESS blocks the merge; `info` rows never fail.

| row | baseline | now | Δ | band | verdict |
| pine-hollow/desktop/warm.netBytes | 0.00 | 0.00 | +0.1 % | ±0.06 | pass |
| pine-hollow/desktop/warm.playMs | 3.43 | 3.48 | +1.4 % | ±0.49 | pass |
| pine-hollow/desktop/warm.requests | 277 | 282 | +1.8 % | ±7.5 | pass |
| pine-hollow/phone/cold.bgNetBytes | 110620721 | 110620721 | +0.0 % |  | info |
| pine-hollow/phone/cold.idleNetBytes | 148689611 | 148690543 | +0.0 % |  | info |
| pine-hollow/phone/cold.longTaskMaxMs | 453 | 318 | -29.8 % | ±118 | better |
| pine-hollow/phone/cold.netBytes | 36.31 | 36.31 | +0.0 % | ±0.43 | pass |
| pine-hollow/phone/cold.playMs | 10.68 | 10.60 | -0.7 % | ±1.22 | pass |
| pine-hollow/phone/cold.requests | 149 | 149 | +0.0 % | ±5 | pass |
| pine-hollow/phone/cold4g.playMs | 35.18 | 35.20 | +0.1 % | ±3.67 | pass |
| pine-hollow/phone/mem.geometries | 219 | 219 | +0.0 % | ±13 | pass |
| pine-hollow/phone/mem.glBufBytes | 38.28 | 38.28 | +0.0 % | ±3.91 | pass |
| pine-hollow/phone/mem.glRbBytes | 0.00 | 0.00 | +0.00 | ±2.00 | pass |
| pine-hollow/phone/mem.glTexBytes | 279.05 | 279.05 | +0.0 % | ±15.95 | pass |
| pine-hollow/phone/mem.heapBytes | 45.32 | 45.27 | -0.1 % | ±4.27 | pass |
| pine-hollow/phone/mem.programs | 106 | 106 | +0.0 % | ±7.3 | pass |
| pine-hollow/phone/mem.sceneTexBytes | 283.22 | 283.22 | +0.0 % | ±16.16 | pass |
| pine-hollow/phone/mem.textures | 403 | 403 | +0.0 % | ±22.2 | pass |
| pine-hollow/phone/pose.cabin.calls | 141 | 141 | +0.0 % | ±19.1 | pass |
| pine-hollow/phone/pose.cabin.cpuP50Ms | 2.7 | 2.9 | +7.4 % | ±1.3 | pass |
| pine-hollow/phone/pose.cabin.cpuP95Ms | 3.2 | 3.3 | +3.1 % | ±1.3 | pass |
| pine-hollow/phone/pose.cabin.fps | 30.0 | 30.0 | +0.0 % | ±4.0 | pass |
| pine-hollow/phone/pose.cabin.frameP95Ms | 34.1 | 34.2 | +0.3 % | ±4.4 | pass |
| pine-hollow/phone/pose.cabin.maskedFrac | 0.1 | 0.1 | +11.3 % |  | info |
| pine-hollow/phone/pose.cabin.ssim | 0.9777 | 0.9741 | -0.4 % | ≥ 0.9677 | pass |
| pine-hollow/phone/pose.cabin.trisK | 1305.1 | 1305.1 | +0.0 % | ±135.5 | pass |
| pine-hollow/phone/pose.gate.calls | 99 | 99 | +0.0 % | ±14.9 | pass |
| pine-hollow/phone/pose.gate.cpuP50Ms | 2.5 | 2.5 | +0.0 % | ±1.3 | pass |
| pine-hollow/phone/pose.gate.cpuP95Ms | 4.9 | 3.3 | -32.7 % | ±1.5 | better |
| pine-hollow/phone/pose.gate.fps | 30.0 | 30.0 | +0.0 % | ±4.0 | pass |
| pine-hollow/phone/pose.gate.frameP95Ms | 34.2 | 34.3 | +0.3 % | ±4.4 | pass |
| pine-hollow/phone/pose.gate.maskedFrac | 0.1 | 0.1 | +5.1 % |  | info |
| pine-hollow/phone/pose.gate.ssim | 0.9881 | 0.9844 | -0.4 % | ≥ 0.9781 | pass |
| pine-hollow/phone/pose.gate.trisK | 1101.3 | 1101.3 | +0.0 % | ±115.1 | pass |
| pine-hollow/phone/pose.pond.calls | 88 | 89 | +1.1 % | ±13.8 | pass |
| pine-hollow/phone/pose.pond.cpuP50Ms | 2.4 | 2.5 | +4.2 % | ±1.2 | pass |
| pine-hollow/phone/pose.pond.cpuP95Ms | 2.9 | 3.0 | +3.4 % | ±1.3 | pass |
| pine-hollow/phone/pose.pond.fps | 30.0 | 30.0 | +0.0 % | ±4.0 | pass |
| pine-hollow/phone/pose.pond.frameP95Ms | 34.4 | 34.1 | -0.9 % | ±4.4 | pass |
| pine-hollow/phone/pose.pond.maskedFrac | 0 | 0.1 | +26.8 % |  | info |
| pine-hollow/phone/pose.pond.ssim | 0.9757 | 0.9757 | +0.0 % | ≥ 0.9657 | pass |
| pine-hollow/phone/pose.pond.trisK | 888.5 | 888.5 | +0.0 % | ±93.9 | pass |
| pine-hollow/phone/warm.longTaskMaxMs | 295 | 313 | +6.1 % | ±94.3 | pass |
| pine-hollow/phone/warm.netBytes | 0.00 | 0.00 | +0.1 % | ±0.06 | pass |
